registro_id,indicador,anio,mes,zona,provincia,presupuesto_musd,es_dato_real,nota
5,Bienestar Social · Desarrollo Infantil Integral (DII),2025,12,Zona 6,Azuay,13.133016,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,Zona 6,Azuay,3.909414,TRUE,Dato real de julio 2026 (columna 'Presupuesto_hasta_julio_2026' del Excel VIS-VIE).
5,Bienestar Social · Desarrollo Infantil Integral (DII),2025,12,Zona 5,Bolívar,9.552113,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,Zona 5,Bolívar,2.519405,TRUE,Dato real de julio 2026 (columna 'Presupuesto_hasta_julio_2026' del Excel VIS-VIE).
5,Bienestar Social · Desarrollo Infantil Integral (DII),2025,12,Zona 6,Cañar,5.874787,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,Zona 6,Cañar,1.660566,TRUE,Dato real de julio 2026 (columna 'Presupuesto_hasta_julio_2026' del Excel VIS-VIE).
5,Bienestar Social · Desarrollo Infantil Integral (DII),2025,12,Zona 1,Carchi,4.497427,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,Zona 1,Carchi,1.398338,TRUE,Dato real de julio 2026 (columna 'Presupuesto_hasta_julio_2026' del Excel VIS-VIE).
5,Bienestar Social · Desarrollo Infantil Integral (DII),2025,12,Zona 3,Chimborazo,16.46997,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,Zona 3,Chimborazo,5.061584,TRUE,Dato real de julio 2026 (columna 'Presupuesto_hasta_julio_2026' del Excel VIS-VIE).
5,Bienestar Social · Desarrollo Infantil Integral (DII),2025,12,Zona 3,Cotopaxi,14.821143,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes."
5,Bienestar Social · Desarrollo Infantil Integral (DII),2026,07,Zona 3,Cotopaxi,5.114956,TRUE,Dato real de julio 2026 (columna 'Presupuesto_hasta_julio_2026' del Excel VIS-VIE).
5,Bienestar Social · Desarrollo Infantil Integral (DII),2025,12,Zona 7,El Oro,11.817803,TRUE,"Acumulado real nov 2023-dic 2025 (columna 'acumulado 2023-2025' del Excel VIS-VIE), colocado como un solo bloque en dic-2025 porque el archivo no permite desagregar por mes."
