registro_id,anio,mes,tipo_credito,grupo,categoria,registros,monto_total_usd,es_dato_real,nota
12,2026,07,12 MESES,genero,FEMENINO,967,594846.49,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,genero,MASCULINO,40,25258.8,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,genero,FEMENINO,3867,4588848.79,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,genero,MASCULINO,206,251056.18,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,rango_edad,Edad 18 a 29 años,280,174400.8,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,rango_edad,Edad 30 a 45 años,550,337091.3,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,rango_edad,Edad 46 a 65 años,177,108613.19,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,rango_edad,Edad 18 a 29 años,965,1161078.36,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,rango_edad,Edad 30 a 45 años,2258,2673274.72,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,rango_edad,Edad 46 a 65 años,841,994685,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,rango_edad,Sin información,9,10866.89,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,etnia,Afroecuatoriano(a),24,15040.48,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,etnia,Blanco(a),6,3788.82,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,etnia,Indígena,25,15557.15,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,etnia,Mestizo(a),765,471938.95,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,etnia,Montuvio(a),175,106202.25,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,etnia,Mulato(a),11,6946.17,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,etnia,Otro,1,631.47,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,etnia,Afroecuatoriano(a),226,271556.33,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,etnia,Blanco(a),23,27387.54,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,etnia,Indígena,644,763957.06,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,etnia,Mestizo(a),2452,2920935.61,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,etnia,Montuvio(a),661,776234.1,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,etnia,Mulato(a),64,76286.24,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,etnia,Otro,3,3548.09,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,pobreza,Pobreza,584,358561.28,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,12 MESES,pobreza,Pobreza extrema,423,261544.01,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,pobreza,Pobreza,2283,2710782.25,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
12,2026,07,24 MESES,pobreza,Pobreza extrema,1790,2129122.72,TRUE,Dato real (resumen_CDH_enero_julio_2026.xlsx). Presupuesto de este programa sigue pendiente.
