registro_id,servicio,anio,mes,usuarios,es_dato_real,nota
5,Desarrollo Infantil Integral (DII),2018,01,251056,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2018,02,254367,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2018,03,254584,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2018,04,260635,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2018,05,260781,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2018,06,263783,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2018,07,256163,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2018,08,260409,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2018,09,257055,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2018,10,259784,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2018,11,263555,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2018,12,264257,TRUE,Dato real de la serie histórica proporcionada (series_historicas.xlsx).
5,Desarrollo Infantil Integral (DII),2019,01,263012,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2019,02,269789,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2019,03,270629,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2019,04,269062,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2019,05,275046,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2019,06,279445,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2019,07,272503,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2019,08,283378,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2019,09,284149,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2019,10,282063,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2019,11,281900,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2019,12,287801,TRUE,Dato real de la serie histórica proporcionada (series_historicas.xlsx).
5,Desarrollo Infantil Integral (DII),2020,01,286329,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2020,02,283923,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2020,03,284374,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2020,04,293472,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2020,05,291063,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2020,06,293838,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2020,07,293355,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2020,08,291518,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2020,09,297024,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2020,10,290501,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2020,11,292940,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2020,12,292743,TRUE,Dato real de la serie histórica proporcionada (series_historicas.xlsx).
5,Desarrollo Infantil Integral (DII),2021,01,293726,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2021,02,296160,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2021,03,292435,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2021,04,293512,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2021,05,285445,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2021,06,287164,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2021,07,287478,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2021,08,284651,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2021,09,286024,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2021,10,284103,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2021,11,285747,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2021,12,287904,TRUE,Dato real de la serie histórica proporcionada (series_historicas.xlsx).
5,Desarrollo Infantil Integral (DII),2022,01,286730,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2022,02,287175,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2022,03,285700,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2022,04,286746,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2022,05,294892,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2022,06,291933,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2022,07,291868,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2022,08,287157,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2022,09,294040,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2022,10,287827,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2022,11,290731,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2022,12,292525,TRUE,Dato real de la serie histórica proporcionada (series_historicas.xlsx).
5,Desarrollo Infantil Integral (DII),2023,01,292712,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2023,02,290298,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2023,03,290323,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2023,04,290685,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2023,05,288459,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2023,06,280789,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2023,07,277136,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2023,08,278905,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2023,09,276939,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2023,10,274878,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2023,11,281550,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2023,12,275206,TRUE,Dato real de la serie histórica proporcionada (series_historicas.xlsx).
5,Desarrollo Infantil Integral (DII),2024,01,274313,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2024,02,279243,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2024,03,277510,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2024,04,284469,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2024,05,280522,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2024,06,279487,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2024,07,280424,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2024,08,285150,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2024,09,282896,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2024,10,287733,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
5,Desarrollo Infantil Integral (DII),2024,11,292500,FALSE,Valor provisional/estimado para completar la serie mensual mientras se carga el dato real mes a mes.
